INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                           ACTION
('}', '}')                       [136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                          SHIFT 150
('if', 'if')                     [150, '}', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                REDUCE 73
('if', 'if')                     [8, 'whileStatement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                   REDUCE 56
('if', 'if')                     [3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                        SHIFT 18
('(', '(')                       [18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                              SHIFT 30
('IDENTIFIER', 'IDENTIFIER')     [30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                     SHIFT 51
('==', '==')                     [51, 'IDENTIFIER', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                   REDUCE 45
('==', '==')                     [40, 'varName', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                      REDUCE 47
('==', '==')                     [37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                         SHIFT 75
('IDENTIFIER', 'LITERAL_CHAR')   [75, '==', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                               REDUCE 14
('IDENTIFIER', 'LITERAL_CHAR')   [68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                               SHIFT 51
('&&', '&&')                     [51, 'IDENTIFIER', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                             REDUCE 45
('&&', '&&')                     [40, 'varName', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                REDUCE 47
('&&', '&&')                     [37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                   SHIFT 83
('IDENTIFIER', 'IDENTIFIER')     [83, '&&', 37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                         REDUCE 17
('IDENTIFIER', 'IDENTIFIER')     [70, 'logicalOperator', 37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                            REDUCE 20
('IDENTIFIER', 'IDENTIFIER')     [67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                   SHIFT 51
('<=', '<=')                     [51, 'IDENTIFIER', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                 REDUCE 45
('<=', '<=')                     [40, 'varName', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                    REDUCE 47
