INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
(';', ';')                [47, 'booleanConstant', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                  REDUCE 23
(';', ';')                [39, 'constant', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                         REDUCE 46
(';', ';')                [37, 'term', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                             REDUCE 80
(';', ';')                [98, 'expression', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                       SHIFT 117
('}', '}')                [117, ';', 98, 'expression', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                             REDUCE 65
('}', '}')                [6, 'letStatement', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                         REDUCE 54
('}', '}')                [149, 'statement', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                          REDUCE 89
('}', '}')                [171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                            SHIFT 172
('if', 'if')              [172, '}', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                  REDUCE 72
('if', 'if')              [7, 'ifStatement', 0, '$']                                                                                                                                                                                                                                                          REDUCE 55
('if', 'if')              [3, 'statement', 0, '$']                                                                                                                                                                                                                                                            SHIFT 18
('(', '(')                [18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                  SHIFT 30
('IDENTIFIER', 'b')       [30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                         SHIFT 51
('!=', '!=')              [51, 'IDENTIFIER', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                       REDUCE 45
('!=', '!=')              [40, 'varName', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                          REDUCE 47
('!=', '!=')              [37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                             SHIFT 76
('(', '(')                [76, '!=', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                   REDUCE 15
('(', '(')                [68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                   SHIFT 41
('IDENTIFIER', 'x')       [41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                          SHIFT 51
('<=', '<=')              [51, 'IDENTIFIER', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                        REDUCE 45
('<=', '<=')              [40, 'varName', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                           REDUCE 47
('<=', '<=')              [37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                              SHIFT 74
('LITERAL_INT', '25')     [74, '<=', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                    REDUCE 13
('LITERAL_INT', '25')     [68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                    SHIFT 45
('+', '+')                [45, 'LITERAL_INT', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                 REDUCE 21
('+', '+')                [39, 'constant', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                    REDUCE 46
('+', '+')                [37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                        SHIFT 77
('(', '(')                [77, '+', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                               REDUCE 5
('(', '(')                [69, 'arithmeticOperator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                              REDUCE 18
('(', '(')                [67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                        SHIFT 41
('IDENTIFIER', 'x')       [41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                               SHIFT 51
('/', '/')                [51, 'IDENTIFIER', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                             REDUCE 45
('/', '/')                [40, 'varName', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                REDUCE 47
('/', '/')                [37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                   SHIFT 80
('LITERAL_INT', '15')     [80, '/', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                          REDUCE 8
('LITERAL_INT', '15')     [69, 'arithmeticOperator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                         REDUCE 18
('LITERAL_INT', '15')     [67, 'operator', 37, 'term', 41, '(', 67, 'operator', 37, 'term', 68, 'relationalOperator', 37, 'term', 41, '(', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                   SHIFT 45
