INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                     ACTION
('(', '(')                       [51, 'IDENTIFIER', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                          REDUCE 19
('(', '(')                       [33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                        SHIFT 64
('IDENTIFIER', 'LITERAL_INT')    [64, '(', 33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                               SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 64, '(', 33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                             REDUCE 45
(')', ')')                       [40, 'varName', 64, '(', 33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                REDUCE 47
(')', ')')                       [103, 'term', 64, '(', 33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                  SHIFT 122
(')', ')')                       [122, ')', 103, 'term', 64, '(', 33, 'functionName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                        REDUCE 97
(')', ')')                       [42, 'functionCall', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                        REDUCE 50
(')', ')')                       [139, 'term', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                               REDUCE 99
(')', ')')                       [121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                    SHIFT 138
(';', ';')                       [138, ')', 121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                          REDUCE 96
(';', ';')                       [42, 'functionCall', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                            REDUCE 50
(';', ';')                       [37, 'term', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                    REDUCE 80
(';', ';')                       [95, 'expression', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                              REDUCE 61
(';', ';')                       [26, 'declare', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                         SHIFT 56
('whil', 'whil')                 [56, ';', 26, 'declare', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                REDUCE 59
('whil', 'whil')                 [5, 'declarationStatement', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                              REDUCE 53
('whil', 'whil')                 [149, 'statement', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                       REDUCE 89
('whil', 'whil')                 [152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                         SHIFT 19
('(', '(')                       [19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                             SHIFT 31
('IDENTIFIER', 'IDENTIFIER')     [31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                    SHIFT 51
('(', '(')                       [51, 'IDENTIFIER', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                  REDUCE 19
