+,-,*,/,%,>,<,>=,<=,==,!=,||,&&,IDENTIFIER,LITERAL_INT,LITERAL_FLOAT,LITERAL_STRING,LITERAL_CHAR,null,stonks,not_stonks,[,],",",intijur,flote,bulen,strin,char,array,(,),!,;,=,let,if,{,},else,whil,coll,retun,funkshun,$,program,funcOrStatement,arithmeticOperator,relationalOperator,logicalOperator,operator,functionName,constant,booleanConstant,arrayConstant,commaConst,dataType,arrayType,elementType,varName,term,statement,declarationStatement,declare,letStatement,ifStatement,whileStatement,callStatement,returnStatement,expression,arrayExpression,commaExpr,functionDefinition,statements,parameterList,commaDataID,functionCall,commaTerm
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s64,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r19,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s65,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s66,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
s77,s78,s79,s80,s81,s71,s72,s73,s74,s75,s76,s82,s83,ee,ee,ee,ee,ee,ee,ee,ee,ee,r80,r80,ee,ee,ee,ee,ee,ee,ee,r80,ee,r80,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,69.0,68.0,70.0,67.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,84.0,ee,ee,ee,ee,ee,ee,42.0,ee
r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,ee,ee,ee,ee,ee,ee,ee,ee,ee,r46,r46,ee,ee,ee,ee,ee,ee,ee,r46,ee,r46,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,ee,ee,ee,ee,ee,ee,ee,ee,s85,r47,r47,ee,ee,ee,ee,ee,ee,ee,r47,ee,r47,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,86.0,ee,ee,ee,ee,ee,ee,42.0,ee
r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,ee,ee,ee,ee,ee,ee,ee,ee,ee,r50,r50,ee,ee,ee,ee,ee,ee,ee,r50,ee,r50,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,87.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,42.0,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,88.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,42.0,ee
